,Comment
0,['hoangquanghuytvbhCòn cái vụ hàng hoá tăng khi giá xăng tăng.còn khi xăng giảm hàng hoá không chịu giảm']
1,['luuvinhgioang85Mong rằng thị trường bđs và chứng khoán khởi sắc hơn.']
2,"['Nguyễn văn tỉnhLãi suất quá cao, tiếp cận vốn khó khăn, ngân hàng muốn vay thì phải mua bảo hiểm, tốt nhất chả làm còn hơn']"
3,"['Le HoangRất nhiều doanh nghiệp trong giai đoạn khó khăn vừa qua bị nợ xấu, giờ muốn tiếp tục vay cũng không vay được dù đã trả dứt điểm nợ cũ. Đề nghị có chính sách hỗ trợ cho nhóm này!']"
4,['Nguyễn văn ThànhMong rằng những gì cần thiết để hỗ trợ kinh tế phát triển thì NHNN cần thực hiện nhanh vì các doanh nghiệp và các thành phần vay đang rất nóng lòng chờ sớm thực hiện .']
5,['Dat LeNên không cho giá cả các mặt hàng tăng nữa.']
6,['Việt Thắng VũLàm sao cho giá bđs xuống .']
7,['hungtinh181107Cho cá nhân hoãn nữa thì tốt']
8,"['phuongthuy1973Cá nhân mất nguồn thu vì mất việc cũng nên được hoãn gốc, chỉ đóng lãi suất']"
9,"['toankhbxHãy cứu doanh nghiệp khi họ đang còn hơi để thở, đừng để sức cùng lực kiệt rồi thì vô phương cứu chữa']"
10,"['nguyenhoanghuyThời buổi này, hay có nhiều người nhận định các phương pháp giáo dục truyền thống không đúng: đánh con là sai, phạt trẻ sẽ làm chúng mất hạnh phúc ... Nhưng không ai đưa ra được phương pháp giáo dục cụ thể như thế nào, để giải quyết các trường hợp thực tế là: trẻ hay bướng bỉnh, không lường được các hậu quả có thể xảy ra và càng không có khả năng chiu trách nhiệm với hậu quả mình gây ra. Dân gian vẫn có câu: ""Dạy con từ thuở còn thơ"" và có một chuyên gia giáo dục người Trung Quốc nói rằng: ""Cha mẹ nên áp đặt quyền lực của mình lên con cái trước khi chúng được 12 tuổi"". Vậy nếu không giáo dục bằng cách bắt nạt trẻ, thì có cách nào khác không? Đã chứng minh được hiệu quả chưa? Và ai cũng biết rằng nuông chiều sẽ làm hại đứa trẻ còn khủng khiếp hơn là áp đặt chúng?']"
11,"['L. BuilKhi phải đối đầu với áp lực xã hội thường xuyên từ chính bản thân mình + từ gia đình + từ xã hội con người có khuynh hướng là chọn cách dễ nhất để giải quyết vấn đề, đó là bạo lực bắt nạt... Trong thiên nhiên mọi loài động vật thường xử lý theo cách này, nhưng nếu cuộc sống dễ dãi hơn và văn minh hơn thì những vụ bắt nạt sẽ ít đi, nói nào ngay ở Mỹ cũng rứa, đó là định luật nhưng có thể du di bằng văn hóa ứng xử...']"
