,List Comments
0,[[]]
1,"[['#67 cố gắng đợt 2 sẽ ổn hơn á', '#67 xu hướng chung hiện tại là ưu tiên cho điểm ĐGNL, nên nếu trường giảm chi tiêu còn 110 mà tăng tỉ lệ xét tuyển bằng điểm ĐGNL thì không khác năm ngoái mấy hoặc thậm chí có khi điểm chuẩn sẽ giảm đôi chút. Bạn có thể mong đợi điểm chuẩn năm nay chênh so với năm ngoái khoảng 20 điểm trở lại, tức là trong khoảng ước 790 đến 830.\nBạn có thể thi đợt hai là cố gắng đạt khoảng 830-850 là có thể yên tâm khoảng 69% nằm trong diện an toàn :V', '#67 anh ủng hộ thi lại đợt 2 cải thiện thêm điểm chứ điểm chênh 10-20đ so với năm ngoái nguy hiểm lắm', '#66 tip tuyệt đỉnk nà iu mìn 😇', '🥤☕ TRÀ SỮA ( GREEN TEA ) MỚI MỞ CẦN:\n📌Chị cần 3 bạn - THÁI ĐỘ TỐT + Chịu Khó và lịch sự nhé:\nPhụ chị bán TRÀ SỮA và đồ uống\nĐộ tuổi: 18t - 23t\n⏲️Thời gian: ca sáng 7h30 - 11h30\nCa chiều 13h - 17h\nCa tối 18h-22h\n( có thể đăng kí theo lịch học)\n💵 Tiền : ca 4h :3.600.000 đ\nCa 8h:7.500.000 đ\nCa 12h: 11.000.000 đ\nCa gãy :26-30k/h\nAi có nhu cầu xin việc thì IB TRỰC TIẾP chị nha 🍀', '#66 Quận 5 phải Hcmue hong 😃', '#67 sợ hay ko sợ thì kết quả cũng chỉ có 1 thoi em, nên cố gắng thi đợt 2 hết sức mình vào, nếu thực sự thích thì mình cứ theo đuổi tới cùng luôn, ít nhất bản thân mình ko thấy hối hận. 😉\nTập trung vào hiện tại nke em, bỏ lỡ thì tiếc lắm đoá. Cố lênh nka🤌', '#66 cứ cua đi bà=)) trai uit ai cũng chờ được cua á:>']]"
2,[[]]
3,"[['ATTT nx bạn', 'cho mình hỏi luôn kĩ thuật phần mềm nữa ạ', 'Đỗ hết nha mấy em, đừng lo gì nữa']]"
4,[[]]
5,"[['Ai nhớ kìa Nam Nguyen', 'Thanh Mỹ =))']]"
6,[[]]
7,"[['Bạn hãy tin và quyết tâm với sự lựa chọn của bản thân. Đó là ý kiến của mình, quyết định sẽ nằm ở bạn ^^.', 'Cao nhân nào đọc rồi tóm tắt nội dung cho tui vs nào', 'Hơi dài cơ mà đã có cơ hội thì nên bắt lấy dù là trong tình cảm hay là công việc đi nữa.', 'Hoài An ê t đọc xong là t nghĩ tới m liền =)))', 'Tóm tắt: nam nhắn nhầm bạn nữ, sau đó nhắn nhau hẹn đi cf và nch thấy hợp, nma về ko dám nt nhau và cho bạn nữ lời khuyên. HẾT ( dài dòng vch)']]"
8,[[]]
9,"[['#61 gặp tớ là tớ chạy ra xin r😂', '#61 sao mà hay chụp lén rồi về up cfs tìm info quá=)) lúc đó sao không ra xin', '#61 thích thì ra xin luôn chứ ngại gì hở anh 🤣🤣 chụp lén người khác v thì cũng không hay đâu']]"
10,[[]]
11,[['Chang Chang Huỳnh Bông Dao Vinh Thinh Minh Thiên Minh Huy Gia Hiếu chang đi mánh lẻ nè']]
12,[[]]
13,[['m bịa chuyện làm j v Le Hoang']]
14,[[]]
15,"[['liên hệ mình nha, cam kết ít hơn tiền học lại và bạn có thêm bài học vào đời 🐧']]"
16,[[]]
17,"[['#55 bạn lên thử pctsv nheeeee 🙆🏼\u200d♀️ tui thấyyyy nhiều b để quên đt gòi được đem lên đó lắm á', 'Phạm Quang dạy kèm \U0001f979', 'chưa á #54 hốt nó đi nè=> Anh Nguyen =)))))']]"
18,[[]]
19,"[['Hình như công an hù vậy chứ có gửi về trường đâu, nhiều lắm là bị trừ điểm rèn luyện là cùng thôi à, chứ k ảnh hưởng nhiều😂', 'Nguyễn Vinh truyền kinh nghiệm bị bắt ko lập biên bản kìa', '#52 bạn ib mình nhe']]"
20,[[]]
